,id_str,created_at,text,entities.hashtags,lang,user.screen_name,user.id_str,user.followers_count,user.friends_count,retweeted_status.id_str,retweeted_status.created_at,retweeted_status.text,retweeted_status.entities.hashtags,retweeted_status.lang,retweeted_status.user.screen_name,retweeted_status.user.id_str,retweeted_status.user.followers_count,retweeted_status.user.friends_count
230,911053037581586432,Fri Sep 22 02:22:25 +0000 2017,"RT @MarwohW: Just saying...

I am sick of seeing children drowning in the Mediterranean.

#refugeeswelcome",['refugeeswelcome'],en,tauguiflorun191,867007756431224832,10,0,786652158250852352,Thu Oct 13 19:37:44 +0000 2016,"Just saying...

I am sick of seeing children drowning in the Mediterranean.

#refugeeswelcome",['refugeeswelcome'],en,MarwohW,2320510510,49.0,178.0
231,911053045022072832,Fri Sep 22 02:22:27 +0000 2017,Good night #conservatives and #trumpanzies. Back tomorrow with more.,"['conservatives', 'trumpanzies']",en,Avid_twoAguy,757707572107325440,1167,1284,,,,NO HASHTAGS,,,,,
232,911053047668887553,Fri Sep 22 02:22:27 +0000 2017,RT @IndyLassie: Britnat Jones support for #CatalanReferendum bewilderingly inconsistent with his opposition to #ScotRef - and the w… ,"['CatalanReferendum', 'ScotRef']",en,LollysMum1,2879985791,3338,4925,910644542969450496,Wed Sep 20 23:19:12 +0000 2017,Britnat Jones support for #CatalanReferendum bewilderingly inconsistent with his opposition to #ScotRef - and the w… https://t.co/CDzDGLUsh9,"['CatalanReferendum', 'ScotRef']",en,IndyLassie,4503621269,2825.0,3522.0
233,911053072377430016,Fri Sep 22 02:22:33 +0000 2017,"Do something unique Robert, be patient, wait and see. You might set an example reporting on what's happening, not w… https://t.co/MjIoAoxSjf",NO HASHTAGS,en,twbrigden,4865319160,45,120,,,,NO HASHTAGS,,,,,
234,911053084490571776,Fri Sep 22 02:22:36 +0000 2017,#uspoli #cdnpoli #pnpcbc #UKpolitics #auspol #polcan #EUpol How many nukes has the US tested in the Pacific? https://t.co/qficctuRwS,"['uspoli', 'cdnpoli', 'pnpcbc', 'UKpolitics', 'auspol', 'polcan', 'EUpol']",en,GordBolton,2265885618,564,105,,,,NO HASHTAGS,,,,,
235,911053166342557696,Fri Sep 22 02:22:56 +0000 2017,https://t.co/lCMrAiouMG Bruselas dará plantón a May en su discurso del #Brexit en Florencia: Leer https://t.co/SpcXeoh90J,['Brexit'],es,CLM_net,754810604,1511,0,,,,NO HASHTAGS,,,,,
236,911053214279192577,Fri Sep 22 02:23:07 +0000 2017,"RT @Onuitalia: #Dutch PM Rutte on split #UNSC Council with #Italy, ""a good example of #EU partnership"" https://t.co/twMX4arW9R https://t.co…","['Dutch', 'UNSC', 'Italy', 'EU']",en,KvanOosterom,241926029,18218,558,910967514108235776,Thu Sep 21 20:42:34 +0000 2017,"#Dutch PM Rutte on split #UNSC Council with #Italy, ""a good example of #EU partnership"" https://t.co/twMX4arW9R https://t.co/RRn0L2Dcs2","['Dutch', 'UNSC', 'Italy', 'EU']",en,Onuitalia,2222178930,5222.0,555.0
237,911053218326761472,Fri Sep 22 02:23:08 +0000 2017,#Conservatives #RepublicanDebate 1 book grasp of 150 subj site:My favorite #mythicalcreature? The honest #politician https://t.co/HkBKF5Nleu,"['Conservatives', 'RepublicanDebate', 'mythicalcreature', 'politician']",en,FutureWorldCen,2198146752,4016,2366,,,,NO HASHTAGS,,,,,
238,911053243064692738,Fri Sep 22 02:23:14 +0000 2017,RT @cafreeland: A tremendous day for #Canada and the #EU! 🇨🇦🇪🇺Wonderful to celebrate the provisional application of #CETA with… ,"['Canada', 'EU', 'CETA']",en,DaleCrammond,3602518583,524,771,910970725812592640,Thu Sep 21 20:55:20 +0000 2017,A tremendous day for #Canada and the #EU! 🇨🇦🇪🇺Wonderful to celebrate the provisional application of #CETA with… https://t.co/Qa2xdjOLDG,"['Canada', 'EU', 'CETA']",en,cafreeland,203132018,61741.0,4600.0
239,911053270461841408,Fri Sep 22 02:23:20 +0000 2017,RT @profcarroll: @WendySiegelman Just happen to have @the_opf #brexit #defcon slide on my screen here. Openness &amp; Conscientiousness… ,"['brexit', 'defcon']",en,emzorbit,537496507,3576,2197,911050735978254337,Fri Sep 22 02:13:16 +0000 2017,@WendySiegelman Just happen to have @the_opf #brexit #defcon slide on my screen here. Openness &amp; Conscientiousness… https://t.co/MhLta5o0r0,"['brexit', 'defcon']",en,profcarroll,15384720,10701.0,3425.0
